models,group,name,Seg-ACC,Seg-AP,Seg-Dice,Seg-FBeta,Seg-MIoU,ASE,semblance,TR,semblance_manual,TASE,MSE_field
MSFSegNet-31+51-32-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,syn_us_test,0.9983713030815125,0.9909749627113342,0.981663167476654,0.9904564023017884,0.4819933474063873,0.5246850252151489,1.264588001183579,0.97265625,0.9687173182613946,0.5246046781539917,0.0020796102135554
MSFSegNet-31+51-32-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,bp,0.8992476463317871,0.0069220010191202,0.0255028735846281,0.0568748228251934,0.0064580682665109,0.596341609954834,1.3412876149608748,0.9678527901565832,0.9851754038224312,0.6544333696365356,0.0075045102625666
MSFSegNet-31+51-32-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,yz,0.9176100492477416,0.0059861317276954,0.0214424710720777,0.0485744588077068,0.0054187127389013,0.3329634368419647,0.9585283302133693,0.6076705238696843,0.6138228735351787,0.3773808181285858,0.0450582706709941
MSFSegNet-31+51-32-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,sh,0.8781795501708984,0.0056650224141776,0.0191636160016059,0.0442251190543174,0.0048372535966336,0.4108990728855133,0.5690181037000863,0.9115889441441842,0.5545652726232954,0.5022820234298706,0.006490262150231
MSFSegNet-31+51-32-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,jsh,0.948536217212677,0.0011645175982266,0.0047961180098354,0.0113664614036679,0.0012019118294119,0.3176614642143249,0.3164903005820777,0.365095793319715,0.1575950042003968,0.4278756380081177,0.0909615586750986
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,syn_us_test,0.995529055595398,0.9743136167526245,0.9508979916572571,0.9744739532470703,0.4531961679458618,0.5249470472335815,1.275786042832228,0.9890625,0.9666256590131412,0.525694727897644,0.003202876147061579
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,bp,0.8995158672332764,0.00681440532207489,0.0269967895001173,0.06019910052418709,0.006841547321528196,0.6039432287216187,1.373717997104484,0.9779222743751039,0.9851754038224314,0.656934380531311,0.007957801034022285
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,yz,0.9250242114067078,0.006829984486103058,0.02422063425183296,0.05437911301851273,0.006129387300461531,0.3920070230960846,1.303066078052095,0.5971143833744473,0.6138228735351787,0.4154555797576904,0.03363669663142551
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,sh,0.8792538046836853,0.005875713191926479,0.01954427734017372,0.04507412016391754,0.004934288095682859,0.4324494600296021,0.547433653315534,0.9215378305432297,0.5545652726232954,0.5096225738525391,0.004653789726879484
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,jsh,0.94089275598526,0.001224062405526638,0.005120344460010529,0.01221723295748234,0.001283371704630554,0.3558766543865204,0.3211582312726262,0.4309260208057854,0.1575950042003968,0.4355722069740295,0.09600981741383223
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S3,tuning_train_para_250105,syn_us_test,0.9990018606185913,0.9939157962799072,0.9886807799339294,0.9940916299819946,0.4888074994087219,0.5231009125709534,1.264746882574541,0.9734375,0.9666256590131412,0.523086428642273,0.002578231856490437
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S3,tuning_train_para_250105,bp,0.8918676972389221,0.006820423994213343,0.0250506903976202,0.05627838149666786,0.006342109758406878,0.5848858952522278,1.262630047667886,0.9674560530818133,0.9851754038224314,0.6420277953147888,0.007199509893993727
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S3,tuning_train_para_250105,yz,0.9107580184936523,0.006002705544233322,0.02038177661597729,0.04650239646434784,0.005147906020283699,0.2833700776100159,0.7938226787460584,0.6472276577399483,0.6138228735351787,0.3511115908622742,0.0523676810835
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S3,tuning_train_para_250105,sh,0.8614315390586853,0.005704011768102646,0.01795383356511593,0.04181838780641556,0.004529115743935108,0.3866877853870392,0.5752981036848828,0.9232830774516149,0.5545652726232954,0.4847627878189087,0.007705453563848237
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S3,tuning_train_para_250105,jsh,0.927390456199646,0.00118171633221209,0.004357356578111649,0.01048532966524363,0.001091717625968158,0.2835224568843842,0.2361213779272378,0.4747649107690446,0.1575950042003968,0.3816413283348083,0.09390236231048513
MSFSegNet-31+51-32-tanh-01111-bs8-lr2.0e-03-BCE-SGD-S1,tuning_train_para_250105,syn_us_test,0.99794207016627,0.988107442855835,0.9772707025210062,0.9880727330843608,0.477787047624588,0.5217545628547668,1.2587987791658983,0.9692708333333334,0.9634350947893704,0.5226675868034363,0.0020541263365427
MSFSegNet-31+51-32-tanh-01111-bs8-lr2.0e-03-BCE-SGD-S1,tuning_train_para_250105,bp,0.9006808400154114,0.0068097526673227,0.0254806485027074,0.0567126050591468,0.0064527231734246,0.5991472005844116,1.3558359306598315,0.9672349840633054,0.9851754038224312,0.6575591564178467,0.0075515954193172
